config_a,config_b,chi2,p_value,significant
A,B,21.551724137931036,3.444129156648934e-06,Yes
A,C,9.782608695652174,0.001761701921433767,Yes
A,D,2.0,0.15729920705028488,No
A,E,4.0,0.04550026389635853,Yes
A,F,7.2,0.007290358091535665,Yes
A,G,4.0,0.04550026389635853,Yes
B,C,6.25,0.012419330651552318,Yes
B,D,27.0,2.0345546147826354e-07,Yes
B,E,29.0,7.237829868778078e-08,Yes
B,F,13.0,0.00031149097676741455,Yes
B,G,29.0,7.237829868778078e-08,Yes
C,D,13.761904761904763,0.00020750159406179858,Yes
C,E,19.0,1.3071845366807722e-05,Yes
C,F,3.0,0.08326451666355039,No
C,G,19.0,1.3071845366807722e-05,Yes
D,E,2.0,0.15729920705028488,No
D,F,10.88888888888889,0.0009674284502477759,Yes
D,G,2.0,0.15729920705028488,No
E,F,16.0,6.334248366623996e-05,Yes
F,G,16.0,6.334248366623996e-05,Yes
