threshold,tp,fp,tn,fn,tpr,tpr_ci_low,tpr_ci_high,far,fpr,far_ci_low,far_ci_high,accuracy,precision,recall,f1,mean_latency_ms,std_latency_ms
0.05,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.029385249927145196,0.021893930808307926
0.1,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.031052750018716324,0.010158316476415756
0.15,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.02834250001797045,0.01234192619514909
0.2,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.02824525013238599,0.012895543031706341
0.25,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.0344527499328251,0.019881584247139775
0.3,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.029582000142909237,0.017460756785135798
0.35,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.026351999940743553,0.011004678429831584
0.4,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.02793450016724819,0.014522195365563838
0.45,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.03141725004752516,0.013766127883845087
0.5,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.031238749888871098,0.01034521024506176
0.55,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.02593950009213586,0.0129229618413061
0.6,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.027377500055081327,0.009263776032086777
0.65,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.03316400003313902,0.010470979099996284
0.7,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.030665000012959354,0.01557881014356209
0.75,174,0,200,26,0.87,0.8163364812775159,0.9097179772033067,0.0,0.0,1.734723475976807e-18,0.018845326377266575,0.935,1.0,0.87,0.93048128342246,0.030784000091443886,0.016446539011309692
